,Value,YEAR-DAY
28796,3.96 0.0 0.0,2010-1
28797,3.82 0.0 0.0,2010-2
28798,3.82 0.0 0.0,2010-3
28799,3.82 0.0 0.0,2010-4
28800,3.96 0.0 0.0,2010-5
28801,4.11 0.0 0.0,2010-6
28802,3.96 0.0 0.0,2010-7
28803,3.96 0.0 0.0,2010-8
28804,3.82 0.0 0.0,2010-9
28805,3.68 0.0 0.0,2010-10
28806,3.68 0.0 0.0,2010-11
28807,3.68 0.0 0.0,2010-12
28808,3.68 0.0 0.0,2010-13
28809,3.68 0.0 0.0,2010-14
28810,3.4 0.0 0.0,2010-15
28811,3.4 0.0 0.0,2010-16
28812,3.26 0.0 0.0,2010-17
28813,3.26 0.0 0.0,2010-18
28814,3.12 0.0 0.0,2010-19
28815,3.12 0.0 0.0,2010-20
28816,2.97 0.0 0.0,2010-21
28817,2.97 0.0 0.0,2010-22
28818,3.12 0.0 0.0,2010-23
28819,3.12 0.0 0.0,2010-24
28820,3.12 0.0 0.0,2010-25
28821,2.97 0.0 0.0,2010-26
28822,2.97 0.0 0.0,2010-27
28823,2.83 0.0 0.0,2010-28
28824,2.72 0.0 0.0,2010-29
28825,2.72 0.0 0.0,2010-30
28826,2.78 0.0 0.0,2010-31
28827,2.72 0.0 0.0,2010-32
28828,2.61 0.0 0.0,2010-33
28829,2.44 0.0 0.0,2010-34
28830,2.38 0.0 0.0,2010-35
28831,2.32 0.0 0.0,2010-36
28832,2.32 0.0 0.0,2010-37
28833,2.27 0.0 0.0,2010-38
28834,2.21 0.0 0.0,2010-39
28835,2.21 0.0 0.0,2010-40
28836,2.27 0.0 0.0,2010-41
28837,2.21 0.0 0.0,2010-42
28838,2.21 0.0 0.0,2010-43
28839,2.15 0.0 0.0,2010-44
28840,2.1 0.0 0.0,2010-45
28841,1.98 0.0 0.0,2010-46
28842,1.98 0.0 0.0,2010-47
28843,1.98 0.0 0.0,2010-48
28844,2.04 0.0 0.0,2010-49
28845,1.98 0.0 0.0,2010-50
28846,1.98 0.0 0.0,2010-51
28847,1.93 0.0 0.0,2010-52
28848,2.04 0.0 0.0,2010-53
28849,2.15 0.0 0.0,2010-54
28850,2.49 0.0 0.0,2010-55
28851,2.55 0.0 0.0,2010-56
28852,2.66 0.0 0.0,2010-57
28853,2.72 0.0 0.0,2010-58
28854,2.61 0.0 0.0,2010-59
28855,2.61 0.085 0.882,2010-60
28856,2.72 0.085 0.942,2010-61
28857,2.83 0.113 0.953,2010-62
28858,2.72 0.227 1.09,2010-63
28859,2.72 0.283 1.11,2010-64
28860,2.66 0.566 1.21,2010-65
28861,2.83 1.42 1.37,2010-66
28862,2.66 3.68 1.58,2010-67
28863,2.55 5.66 1.4,2010-68
28864,2.44 5.1 1.2,2010-69
28865,2.55 4.81 1.38,2010-70
28866,2.66 5.1 1.59,2010-71
28867,2.44 5.38 1.68,2010-72
28868,2.55 5.66 2.05,2010-73
28869,2.72 5.66 1.76,2010-74
28870,3.12 5.66 1.81,2010-75
28871,2.95 6.23 1.77,2010-76
28872,3.17 17.0 2.45,2010-77
28873,2.83 14.2 2.4,2010-78
28874,2.55 11.3 2.31,2010-79
28875,4.05 11.3 2.44,2010-80
28876,4.11 10.9 2.48,2010-81
28877,3.14 13.3 2.75,2010-82
