Merit_reorderd_ID,Outlet_Number,Rank,Next,Segid,tosegment
1152,0,1,4,74004070,74002584
1141,0,2,4,74004043,74002584
1168,0,3,8,74004097,74002343
845,0,4,8,74002584,74002343
1216,0,5,9,74004202,74002557
1202,0,6,9,74004169,74002557
1185,0,7,10,74004141,74002190
787,0,8,10,74002343,74002190
840,0,9,12,74002557,74002094
739,0,10,12,74002190,74002094
1232,0,11,16,74004229,74002026
715,0,12,16,74002094,74002026
1267,0,13,18,74004283,74002636
1254,0,14,18,74004260,74002636
1255,0,15,20,74004264,74002002
696,0,16,20,74002026,74002002
1273,0,17,22,74004290,74000072
857,0,18,22,74002636,74000072
1257,0,19,24,74004266,74001959
686,0,20,24,74002002,74001959
52,0,21,28,74000080,74000070
45,0,22,28,74000072,74000070
1289,0,23,30,74004309,74001946
672,0,24,30,74001959,74001946
330,0,25,33,74000708,74000483
308,0,26,33,74000676,74000483
223,0,27,34,74000553,74000049
43,0,28,34,74000070,74000049
1270,0,29,36,74004286,74001909
668,0,30,36,74001946,74001909
257,0,31,37,74000595,74000446
220,0,32,37,74000550,74000446
194,0,33,38,74000483,74000047
36,0,34,38,74000049,74000047
1305,0,35,42,74004331,74000071
654,0,36,42,74001909,74000071
184,0,37,44,74000446,74000045
35,0,38,44,74000047,74000045
259,0,39,47,74000597,74000520
244,0,40,47,74000581,74000520
234,0,41,48,74000569,74000061
44,0,42,48,74000071,74000061
315,0,43,50,74000687,74000044
34,0,44,50,74000045,74000044
1288,0,45,52,74004308,74002295
1212,0,46,52,74004189,74002295
208,0,47,55,74000520,74000053
40,0,48,55,74000061,74000053
319,0,49,56,74000694,74000042
33,0,50,56,74000044,74000042
1230,0,51,58,74004225,74002281
767,0,52,58,74002295,74002281
1295,0,53,60,74004317,74002492
1274,0,54,60,74004291,74002492
37,0,55,62,74000053,74000041
32,0,56,62,74000042,74000041
1269,0,57,64,74004285,74002183
759,0,58,64,74002281,74002183
1251,0,59,66,74004253,74002459
823,0,60,66,74002492,74002459
298,0,61,68,74000658,74000039
31,0,62,68,74000041,74000039
1299,0,63,70,74004324,74001250
737,0,64,70,74002183,74001250
1241,0,65,72,74004240,74002323
816,0,66,72,74002459,74002323
275,0,67,76,74000619,74000038
30,0,68,76,74000039,74000038
1266,0,69,78,74004281,74000027
504,0,70,78,74001250,74000027
1242,0,71,80,74004241,74002177
779,0,72,80,74002323,74002177
343,0,73,82,74000727,74000472
314,0,74,82,74000686,74000472
238,0,75,83,74000575,74000037
29,0,76,83,74000038,74000037
221,0,77,84,74000551,74000026
20,0,78,84,74000027,74000026
1262,0,79,86,74004275,74001447
735,0,80,86,74002177,74001447
320,0,81,88,74000696,74000439
191,0,82,88,74000472,74000439
28,0,83,90,74000037,74000025
19,0,84,90,74000026,74000025
1310,0,85,92,74004337,74000029
530,0,86,92,74001447,74000029
309,0,87,93,74000677,74000400
178,0,88,93,74000439,74000400
54,0,89,94,74000083,74000024
18,0,90,94,74000025,74000024
218,0,91,95,74000548,74000028
22,0,92,95,74000029,74000028
168,0,93,96,74000400,74000023
17,0,94,96,74000024,74000023
21,0,95,100,74000028,74000022
16,0,96,100,74000023,74000022
255,0,97,101,74000593,74000532
240,0,98,101,74000577,74000532
215,0,99,102,74000540,74000021
15,0,100,102,74000022,74000021
211,0,101,108,74000532,74000020
14,0,102,108,74000021,74000020
243,0,103,111,74000580,74000533
232,0,104,111,74000566,74000533
1300,0,105,112,74004325,74000076
1284,0,106,112,74004304,74000076
270,0,107,114,74000611,74000019
13,0,108,114,74000020,74000019
1294,0,109,116,74004314,74002596
1264,0,110,116,74004277,74002596
212,0,111,117,74000533,74000060
49,0,112,117,74000076,74000060
287,0,113,118,74000641,74000018
12,0,114,118,74000019,74000018
1293,0,115,120,74004313,74002268
848,0,116,120,74002596,74002268
39,0,117,122,74000060,74000017
11,0,118,122,74000018,74000017
1260,0,119,124,74004273,74002205
755,0,120,124,74002268,74002205
264,0,121,128,74000605,74000016
10,0,122,128,74000017,74000016
1245,0,123,130,74004245,74002134
743,0,124,130,74002205,74002134
1290,0,125,131,74004310,74000074
1263,0,126,131,74004276,74000074
297,0,127,132,74000656,74000015
9,0,128,132,74000016,74000015
1253,0,129,134,74004259,74002129
727,0,130,134,74002134,74002129
47,0,131,136,74000074,74000014
8,0,132,136,74000015,74000014
1259,0,133,138,74004272,74001985
724,0,134,138,74002129,74001985
329,0,135,140,74000707,74000013
7,0,136,140,74000014,74000013
1250,0,137,144,74004251,74001951
680,0,138,144,74001985,74001951
50,0,139,148,74000077,74000012
6,0,140,148,74000013,74000012
1236,0,141,152,74004233,74002330
1227,0,142,152,74004221,74002330
1193,0,143,154,74004155,74001928
670,0,144,154,74001951,74001928
250,0,145,157,74000587,74000058
53,0,146,157,74000082,74000058
277,0,147,158,74000621,74000011
5,0,148,158,74000012,74000011
1156,0,149,162,74004077,74002342
1145,0,150,162,74004049,74002342
1171,0,151,163,74004105,74002032
781,0,152,163,74002330,74002032
1195,0,153,164,74004157,74001918
663,0,154,164,74001928,74001918
370,0,155,166,74000785,74000517
366,0,156,166,74000774,74000517
38,0,157,168,74000058,74000010
4,0,158,168,74000011,74000010
1005,0,159,174,74003672,74002345
946,0,160,174,74003527,74002345
1172,0,161,176,74004108,74002221
786,0,162,176,74002342,74002221
697,0,163,178,74002032,74001911
658,0,164,178,74001918,74001911
310,0,165,180,74000678,74000347
206,0,166,180,74000517,74000347
242,0,167,182,74000579,74000009
3,0,168,182,74000010,74000009
427,0,169,186,74000913,74000430
423,0,170,186,74000902,74000430
969,0,171,188,74003582,74002494
950,0,172,188,74003541,74002494
1042,0,173,190,74003782,74002287
789,0,174,190,74002345,74002287
1150,0,175,194,74004066,74002088
745,0,176,194,74002221,74002088
1163,0,177,196,74004088,74001888
655,0,178,196,74001911,74001888
318,0,179,198,74000692,74000329
147,0,180,198,74000347,74000329
261,0,181,200,74000600,74000008
2,0,182,200,74000009,74000008
424,0,183,203,74000905,74000380
407,0,184,203,74000851,74000380
418,0,185,204,74000888,74000365
176,0,186,204,74000430,74000365
975,0,187,207,74003597,74002433
824,0,188,207,74002494,74002433
999,0,189,208,74003658,74002239
763,0,190,208,74002287,74002239
1108,0,191,210,74003955,74002427
1095,0,192,210,74003920,74002427
1116,0,193,211,74003987,74001995
712,0,194,211,74002088,74001995
1164,0,195,212,74004090,74001887
649,0,196,212,74001888,74001887
294,0,197,216,74000651,74000306
143,0,198,216,74000329,74000306
26,0,199,218,74000034,74000007
1,0,200,218,74000008,74000007
377,0,201,220,74000799,74000304
344,0,202,220,74000728,74000304
159,0,203,222,74000380,74000275
152,0,204,222,74000365,74000275
1044,0,205,223,74003784,74002440
1026,0,206,223,74003718,74002440
807,0,207,224,74002433,74002096
749,0,208,224,74002239,74002096
1082,0,209,225,74003885,74002296
803,0,210,225,74002427,74002296
685,0,211,226,74001995,74001862
648,0,212,226,74001887,74001862
1292,0,213,228,74004312,74002751
1279,0,214,228,74004297,74002751
271,0,215,234,74000613,74000271
138,0,216,234,74000306,74000271
228,0,217,236,74000561,74001236
0,0,218,236,74000007,74001236
324,0,219,240,74000701,74000301
137,0,220,240,74000304,74000301
391,0,221,242,74000824,74000263
127,0,222,242,74000275,74000263
811,0,223,244,74002440,74002076
716,0,224,244,74002096,74002076
768,0,225,246,74002296,74001830
